Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"lightheadedness, tingling sensation, lump or swelling","allergies, chronic kidney disease, stress, rural living",adult,mild,Breast Cancer
"dry mouth, irregular heartbeat, wheezing, hair loss, frequent belching",,adult,mild,Epilepsy
"weight loss, facial drooping","night shift worker, alcohol use, family history of heart disease",adult,mild,Zika Virus
"abdominal pain, fainting, fever, cough",smoker,senior,moderate,Diabetes Type 2
"persistent hiccups, hand tremors, frequent belching",,senior,moderate,COPD
trouble walking,"chronic kidney disease, malnutrition",adult,moderate,Hypothyroidism
"leg cramps, lightheadedness","chronic kidney disease, exposure to chemicals",adult,mild,Parkinson’s Disease
difficulty urinating,"family history of heart disease, sedentary lifestyle",adult,moderate,Lymphoma
"persistent hiccups, skin discoloration",asthma,senior,moderate,Irritable Bowel Syndrome
"sore throat, loss of appetite, insomnia, difficulty breathing at night","autoimmune disorder, low immunity",adult,moderate,Cerebral Palsy
"anxiety, slow healing, leg cramps, nausea",,adult,mild,Coronary Artery Disease
"itching, hair loss, rash, memory loss, chest pain",,adult,mild,Vitamin B12 Deficiency
"rash, swollen lymph nodes, heat intolerance, nail changes, double vision, persistent sneezing","chronic kidney disease, low immunity",adult,mild,Kidney Stones
shortness of breath,family history of cancer,teenager,moderate,Transient Ischemic Attack
"nosebleeds, cough, fatigue, hallucinations",smoker,adult,moderate,Insomnia
"swelling in legs, irritability, blurred vision, difficulty sleeping","chronic kidney disease, radiation exposure",adult,moderate,Malaria
chronic cough,"chronic kidney disease, occupational hazard, exposure to chemicals",child,mild,Parkinson’s Disease
abdominal pain,"chronic kidney disease, family history of cancer, low immunity",teenager,moderate,Iron Deficiency
neck stiffness,"smoker, malnutrition",senior,moderate,Tetanus
"cough, weight loss, fever, fainting, abdominal pain",smoker,adult,mild,Diabetes Type 2
"muscle stiffness, loss of appetite",family history of cancer,adult,moderate,Anxiety Disorder
"numbness, confusion","radiation exposure, family history of cancer",senior,mild,Transient Ischemic Attack
"hiccups, weight loss",,adult,mild,Mumps
"skin discoloration, dizziness, hair loss","recent surgery, diabetes, high cholesterol",adult,mild,COVID-19
"back pain, constipation, difficulty speaking","COPD, long-term medication use, chronic kidney disease",teenager,severe,Peptic Ulcer
"shortness of breath, craving for salt",,adult,moderate,Transient Ischemic Attack
"bleeding gums, voice tremor","urban living, autoimmune disorder",adult,mild,Ulcerative Colitis
"difficulty breathing at night, difficulty urinating, easy bruising, dry eyes, loss of balance, nausea, headache","recent surgery, night shift worker, high cholesterol",adult,moderate,Crohn’s Disease
"numbness, persistent sneezing, gas/bloating","asthma, chronic liver disease, malnutrition",adult,mild,Tension Headache
"cough, lightheadedness, tremors, abdominal pain","thyroid disorder, autoimmune disorder, alcohol use",adult,mild,Sinusitis
palpitations,"night shift worker, stress",adult,mild,Arrhythmia
"urinary incontinence, difficulty speaking, difficulty sleeping","urban living, HIV positive",adult,mild,Multiple Sclerosis
frequent belching,pregnancy,adult,severe,Epilepsy
"joint pain, palpitations, slow healing, chronic cough","frequent travel, long-term medication use, anemia",teenager,mild,Depression
"repetitive movements, difficulty concentrating, urinary incontinence, difficulty swallowing, heat intolerance, fainting",,adult,severe,Typhoid
"frequent infections, nail changes, heat intolerance, dry mouth, blurred vision, difficulty swallowing, double vision","family history of heart disease, family history of cancer",senior,mild,Cushing Syndrome
blurred vision,,adult,moderate,Malaria
"headache, difficulty urinating, easy bruising, dry eyes, difficulty breathing at night, nausea",hypertension,senior,moderate,Crohn’s Disease
"insomnia, loss of balance, depression",hypertension,teenager,severe,Hepatitis C
loss of appetite,"alcohol use, family history of cancer",child,mild,Rheumatoid Arthritis
"fever, mood swings, neck stiffness",exposure to chemicals,adult,moderate,Bipolar Disorder
"blurred vision, irritability, swelling in legs, difficulty sleeping, diarrhea",,child,severe,Malaria
"hiccups, involuntary movements, heat intolerance",asthma,adult,moderate,Pancreatitis
confusion,"obesity, smoker",senior,moderate,Diabetes Type 1
fever,chronic kidney disease,adult,severe,Glaucoma
"neck stiffness, difficulty swallowing, loss of smell","thyroid disorder, urban living",senior,severe,Anemia
"urinary incontinence, swelling in legs, drooling, groin pain","malnutrition, smoker",adult,mild,Gallstones
"weight loss, loss of appetite, painful urination, wheezing",chronic kidney disease,adult,severe,Bronchitis
"abdominal pain, heat intolerance","occupational hazard, HIV positive",adult,mild,Gastroenteritis
"involuntary movements, insomnia, difficulty concentrating","malnutrition, smoker, chronic liver disease",adult,severe,Urinary Tract Infection
persistent hiccups,,adult,moderate,COPD
confusion,"radiation exposure, family history of cancer",child,moderate,Transient Ischemic Attack
"loss of smell, neck stiffness, memory loss","thyroid disorder, urban living, mental health disorder",adult,severe,Anemia
"heat intolerance, shortness of breath, dizziness, depression","autoimmune disorder, high cholesterol, urban living, pregnancy",child,moderate,Stroke
shortness of breath,,teenager,moderate,Cirrhosis
"dry eyes, trouble walking, insomnia, muscle pain",autoimmune disorder,teenager,mild,Hypertension
"weight loss, neck stiffness, swelling in legs","smoker, malnutrition",adult,moderate,Tetanus
"painful urination, weight loss, difficulty concentrating, sore throat, wheezing, gas/bloating",obesity,senior,mild,Bronchitis
"frequent headaches, double vision, mood swings",obesity,adult,moderate,Asthma
"fever, low energy, confusion",vitamin D deficiency,child,moderate,Tuberculosis
"difficulty urinating, loss of balance, dry eyes","hypertension, night shift worker, recent surgery",child,moderate,Crohn’s Disease
difficulty speaking,"COPD, obesity, chronic kidney disease, long-term medication use",child,mild,Peptic Ulcer
"wheezing, mood swings, neck stiffness",exposure to chemicals,senior,mild,Bipolar Disorder
"fainting, frequent belching, voice tremor, bleeding gums","allergies, autoimmune disorder, sleep apnea",teenager,mild,Ulcerative Colitis
hoarseness,"obesity, mental health disorder",adult,severe,Hepatitis B
"skin discoloration, persistent hiccups, insomnia",,adult,severe,Irritable Bowel Syndrome
acid reflux,,child,moderate,Measles
"skin discoloration, dry mouth, difficulty urinating, hallucinations, unsteady gait",alcohol use,adult,mild,Alzheimer’s Disease
irritability,"frequent travel, night shift worker",senior,moderate,Measles
involuntary movements,,child,severe,Pancreatitis
loss of balance,allergies,adult,moderate,Dengue Fever
"urinary incontinence, change in voice","smoker, chronic liver disease, malnutrition",teenager,moderate,Gallstones
"unsteady gait, muscle pain, constipation, muscle stiffness","night shift worker, stress, occupational hazard",adult,mild,Arrhythmia
"easy bruising, nausea, difficulty breathing at night, headache, difficulty urinating, loss of balance, dry eyes",,child,moderate,Crohn’s Disease
"dizziness, bleeding gums",chronic liver disease,adult,mild,Common Cold
"fatigue, loss of appetite, hoarseness, abdominal pain","chronic kidney disease, family history of cancer",senior,moderate,Iron Deficiency
"vomiting, leg cramps, anxiety","frequent travel, high cholesterol, occupational hazard",senior,moderate,Coronary Artery Disease
"difficulty concentrating, involuntary movements",malnutrition,senior,moderate,Urinary Tract Infection
"nosebleeds, difficulty breathing at night","night shift worker, hypertension",adult,moderate,Cirrhosis
"wheezing, painful urination, weight loss, difficulty concentrating, sore throat, loss of appetite","chronic liver disease, obesity",senior,moderate,Bronchitis
"hand tremors, difficulty sleeping, nausea","HIV positive, urban living, chronic liver disease",adult,severe,Multiple Sclerosis
"nail changes, double vision, night sweats, heat intolerance, swollen lymph nodes, persistent sneezing",low immunity,adult,moderate,Kidney Stones
"double vision, difficulty swallowing, nail changes, heat intolerance, dry mouth, frequent infections, blurred vision",family history of heart disease,child,moderate,Cushing Syndrome
"trouble walking, chronic cough, difficulty sleeping, tingling sensation, acid reflux","malnutrition, sleep apnea, chronic kidney disease",adult,moderate,Hypothyroidism
"memory loss, hair loss","occupational hazard, urban living",senior,mild,Vitamin B12 Deficiency
"drooling, fatigue, hallucinations, nosebleeds",exposure to chemicals,adult,mild,Insomnia
difficulty sleeping,,adult,severe,Malaria
"diarrhea, neck stiffness, constipation, abdominal pain, headache","long-term medication use, exposure to chemicals",child,mild,Lupus
"acid reflux, irritability, loss of balance, slow healing, involuntary movements",,adult,severe,Measles
"dry mouth, hoarseness, dry eyes, cold hands and feet","long-term medication use, asthma",adult,moderate,Lung Cancer
"persistent hiccups, hand tremors, difficulty speaking, difficulty swallowing, unsteady gait, joint pain","family history of heart disease, urban living",adult,mild,Conjunctivitis
"hand tremors, increased thirst, numbness, low energy",,adult,mild,Chickenpox
"weight loss, depression","HIV positive, stress",adult,moderate,Mumps
vomiting,"frequent travel, high cholesterol, occupational hazard",teenager,mild,Coronary Artery Disease
chest pain,family history of heart disease,adult,moderate,Hyperthyroidism
"difficulty concentrating, lightheadedness",family history of heart disease,adult,severe,Hyperthyroidism
difficulty swallowing,"family history of cancer, family history of heart disease",teenager,moderate,Cushing Syndrome
"double vision, lump or swelling, shortness of breath","chronic kidney disease, radiation exposure, thyroid disorder",adult,mild,Pneumonia
"joint pain, anxiety",occupational hazard,adult,moderate,Meningitis
"voice tremor, frequent belching","sleep apnea, urban living, autoimmune disorder",senior,mild,Ulcerative Colitis
"memory loss, nosebleeds, difficulty breathing at night, hair loss, frequent infections, shortness of breath, palpitations",alcohol use,child,moderate,Cirrhosis
"slow healing, nail changes",,child,severe,Measles
"hand tremors, palpitations, numbness, gas/bloating, loss of taste",malnutrition,senior,moderate,Tension Headache
abdominal pain,"family history of cancer, family history of heart disease, sedentary lifestyle",child,mild,Lymphoma
"involuntary movements, difficulty concentrating",,adult,mild,Urinary Tract Infection
"yellowing of eyes, drooling, difficulty breathing at night",rural living,teenager,mild,Influenza
"weight loss, swelling in legs",,adult,mild,Tetanus
confusion,family history of cancer,adult,moderate,Transient Ischemic Attack
"blurred vision, nail changes, double vision",family history of heart disease,teenager,severe,Cushing Syndrome
hair loss,"night shift worker, alcohol use, hypertension",adult,mild,Cirrhosis
"yellowing of eyes, frequent infections, drooling, difficulty breathing at night",HIV positive,senior,severe,Influenza
insomnia,"smoker, sleep apnea",adult,mild,Schizophrenia
"hallucinations, nail changes","alcohol use, night shift worker, recent infection",adult,severe,PCOS
"irritability, nail changes","frequent travel, chronic kidney disease",adult,mild,Measles
"hand tremors, unsteady gait, difficulty speaking, joint pain, difficulty swallowing, persistent hiccups",family history of heart disease,adult,severe,Conjunctivitis
"dizziness, shortness of breath, heat intolerance, depression",urban living,adult,mild,Stroke
"palpitations, urinary incontinence, loss of appetite, difficulty concentrating, confusion",,teenager,mild,Diabetes Type 1
"dizziness, heat intolerance, depression","autoimmune disorder, high cholesterol, pregnancy, urban living",adult,moderate,Stroke
"abdominal pain, headache","long-term medication use, exposure to chemicals",adult,severe,Lupus
"lump or swelling, shortness of breath",thyroid disorder,adult,moderate,Pneumonia
"sore throat, insomnia, hallucinations",,senior,moderate,Cerebral Palsy
"yellowing of eyes, heat intolerance, difficulty concentrating","recent infection, frequent travel",teenager,moderate,Typhoid
"memory loss, vision loss, constipation, neck stiffness, loss of smell",low immunity,senior,severe,Anemia
"frequent headaches, depression, hoarseness",diabetes,adult,moderate,Autism Spectrum Disorder
"persistent hiccups, difficulty speaking, difficulty swallowing, hand tremors",urban living,adult,moderate,Conjunctivitis
"joint pain, mood swings",,adult,moderate,Meningitis
"difficulty sleeping, depression, insomnia, weight loss, nosebleeds, loss of balance",,adult,moderate,Hepatitis C
"acid reflux, painful urination, abdominal pain, nausea",,teenager,severe,Migraine
"hoarseness, vomiting, chronic cough, weight loss","asthma, allergies",adult,moderate,Down Syndrome
"nail changes, heat intolerance",,senior,mild,Cushing Syndrome
"fatigue, abdominal pain, hoarseness","chronic kidney disease, family history of cancer, low immunity",teenager,mild,Iron Deficiency
"sensitivity to light, abdominal pain","sleep apnea, COPD",adult,mild,Sleep Apnea
"joint pain, skin discoloration","occupational hazard, alcohol use, rural living",senior,moderate,Meningitis
"frequent belching, persistent sneezing, frequent headaches, difficulty swallowing",thyroid disorder,child,moderate,Arthritis
back pain,"obesity, chronic kidney disease, COPD, long-term medication use",adult,moderate,Peptic Ulcer
"difficulty swallowing, nail changes, double vision, blurred vision, dry mouth","family history of cancer, family history of heart disease",senior,moderate,Cushing Syndrome
"heat intolerance, hiccups, loss of balance, involuntary movements","asthma, rural living",senior,mild,Pancreatitis
"gas/bloating, difficulty sleeping, dizziness, joint pain","family history of heart disease, sleep apnea",adult,mild,Colon Cancer
"loss of balance, difficulty breathing at night, dry eyes",,teenager,mild,Dengue Fever
"frequent headaches, persistent sneezing, hoarseness, depression","diabetes, hypertension",adult,mild,Autism Spectrum Disorder
"hoarseness, depression, persistent sneezing, frequent headaches",,senior,moderate,Autism Spectrum Disorder
"hoarseness, shortness of breath, yellowing of eyes, craving for salt, confusion, irregular heartbeat, numbness",,teenager,mild,Transient Ischemic Attack
"groin pain, facial drooping, persistent hiccups","anemia, high cholesterol, asthma, diabetes",adult,mild,Chronic Kidney Disease
insomnia,"vitamin D deficiency, long-term medication use",adult,moderate,Skin Cancer
"insomnia, frequent infections, frequent belching","long-term medication use, radiation exposure, vitamin D deficiency",teenager,mild,Skin Cancer
"anxiety, easy bruising","frequent travel, high cholesterol",adult,moderate,Coronary Artery Disease
"blurred vision, heat intolerance, difficulty swallowing, frequent infections",,teenager,moderate,Cushing Syndrome
"joint pain, difficulty speaking",pregnancy,senior,moderate,Dengue Fever
"drooling, swelling in legs",chronic liver disease,senior,severe,Gallstones
"involuntary movements, irritability, slow healing, loss of balance, nail changes, acid reflux",,adult,severe,Measles
"hiccups, involuntary movements, loss of balance, heat intolerance","asthma, rural living",adult,severe,Pancreatitis
"frequent infections, dry mouth, heat intolerance, difficulty swallowing, blurred vision, nail changes",family history of cancer,adult,severe,Cushing Syndrome
"difficulty swallowing, hiccups, persistent sneezing, frequent belching, swollen lymph nodes, frequent headaches",,adult,severe,Arthritis
difficulty speaking,,adult,moderate,Multiple Sclerosis
hallucinations,night shift worker,adult,moderate,PCOS
"yellowing of eyes, craving for salt, irregular heartbeat, hoarseness, numbness, shortness of breath",,adult,severe,Transient Ischemic Attack
lightheadedness,"alcohol use, autoimmune disorder",senior,severe,Sinusitis
"drooling, hallucinations, hand tremors, nosebleeds","smoker, alcohol use",senior,moderate,Insomnia
"dry mouth, frequent infections, difficulty swallowing, blurred vision",,teenager,severe,Cushing Syndrome
"unsteady gait, difficulty swallowing, difficulty speaking, hand tremors",family history of heart disease,adult,severe,Conjunctivitis
double vision,,adult,mild,Asthma
"heat intolerance, abdominal pain, confusion, lump or swelling",,child,mild,Gastroenteritis
"depression, difficulty sleeping, nosebleeds, insomnia, loss of balance, weight loss","hypertension, chronic kidney disease",adult,moderate,Hepatitis C
"difficulty speaking, difficulty urinating, fever, joint pain",thyroid disorder,adult,severe,Glaucoma
"loss of balance, involuntary movements, heat intolerance, hiccups",,adult,moderate,Pancreatitis
nail changes,"night shift worker, stress, alcohol use",adult,mild,PCOS
"rash, hair loss",urban living,teenager,moderate,Vitamin B12 Deficiency
"hand tremors, memory loss",recent surgery,teenager,severe,Congestive Heart Failure
voice tremor,autoimmune disorder,adult,severe,Ulcerative Colitis
"slow healing, leg cramps, anxiety",,teenager,severe,Coronary Artery Disease
"heat intolerance, abdominal pain, loss of taste",,adult,moderate,Lymphoma
"hoarseness, wheezing, diarrhea",,senior,severe,Hepatitis B
"abdominal pain, fever, cough, fainting",smoker,senior,moderate,Diabetes Type 2
"tingling sensation, insomnia","chronic liver disease, smoker",adult,severe,Urinary Tract Infection
"loss of appetite, ear pain","family history of cancer, COPD, vitamin D deficiency",senior,severe,Anxiety Disorder
difficulty speaking,,adult,mild,Peptic Ulcer
"lightheadedness, dry eyes",,adult,mild,Osteoporosis
constipation,"occupational hazard, night shift worker",adult,mild,Arrhythmia
"difficulty sleeping, weight loss, depression, insomnia, nosebleeds",hypertension,adult,severe,Hepatitis C
fever,"family history of cancer, chronic kidney disease",adult,mild,Glaucoma
"ear pain, confusion, abdominal pain",,child,moderate,Gastroenteritis
"loss of appetite, sore throat",,adult,mild,Cerebral Palsy
"hoarseness, abdominal pain, loss of appetite, fatigue",,adult,moderate,Iron Deficiency
facial drooping,"night shift worker, alcohol use, family history of heart disease",adult,moderate,Zika Virus
"fainting, bleeding gums, voice tremor","allergies, autoimmune disorder",child,moderate,Ulcerative Colitis
"yellowing of eyes, dry mouth, irregular heartbeat, hair loss, wheezing",,senior,moderate,Epilepsy
hair loss,"hypertension, pregnancy, stress",senior,moderate,Epilepsy
"painful urination, chronic cough, muscle stiffness, hair loss",,adult,mild,Otitis Media
"sore throat, weight loss, swelling in legs, neck stiffness",smoker,teenager,moderate,Tetanus
low energy,"obesity, chronic liver disease, mental health disorder",teenager,mild,Asthma
"nail changes, involuntary movements, acid reflux",,adult,mild,PCOS
"lump or swelling, heat intolerance, confusion, ear pain, persistent hiccups",HIV positive,adult,moderate,Gastroenteritis
"abdominal pain, heat intolerance, loss of taste",family history of cancer,senior,moderate,Lymphoma
"frequent belching, persistent hiccups, confusion, hand tremors","exposure to chemicals, pregnancy",teenager,moderate,COPD
"frequent infections, difficulty breathing at night, drooling",rural living,adult,moderate,Influenza
"fever, bleeding gums, nail changes",,senior,severe,Common Cold
"change in voice, unsteady gait, increased thirst, cold hands and feet, leg cramps",,adult,mild,Rheumatoid Arthritis
"voice tremor, frequent belching, fainting","urban living, sleep apnea, allergies, autoimmune disorder",adult,moderate,Ulcerative Colitis
"neck stiffness, vision loss, fainting, memory loss, loss of smell, difficulty swallowing",,adult,mild,Anemia
joint pain,,teenager,mild,Conjunctivitis
"dry eyes, nausea, difficulty breathing at night",recent surgery,child,mild,Crohn’s Disease
hoarseness,"sleep apnea, obesity",teenager,mild,Hepatitis B
"lightheadedness, wheezing, low energy, persistent sneezing",,teenager,moderate,Leukemia
"sensitivity to light, hearing loss, constipation, abdominal pain, back pain",sleep apnea,adult,moderate,Sleep Apnea
"groin pain, swelling in legs, easy bruising, drooling","malnutrition, smoker, chronic liver disease",senior,severe,Gallstones
"irritability, weight loss","night shift worker, alcohol use",adult,moderate,Zika Virus
"loss of balance, memory loss, itching","occupational hazard, urban living",teenager,mild,Vitamin B12 Deficiency
"difficulty sleeping, urinary incontinence, tremors, hand tremors, nausea, difficulty speaking","urban living, HIV positive",adult,mild,Multiple Sclerosis
sore throat,smoker,adult,mild,Tetanus
hoarseness,"hypertension, diabetes",adult,moderate,Autism Spectrum Disorder
"difficulty concentrating, palpitations, confusion","smoker, obesity",child,moderate,Diabetes Type 1
"insomnia, swelling in legs, urinary incontinence, drooling, change in voice, easy bruising",,adult,mild,Gallstones
"double vision, groin pain, frequent urination, frequent headaches, shortness of breath, lump or swelling, fainting","chronic kidney disease, radiation exposure",teenager,mild,Pneumonia
"involuntary movements, heat intolerance, hiccups, loss of balance",,teenager,moderate,Pancreatitis
"trouble walking, dry eyes, fever, insomnia, muscle pain","HIV positive, mental health disorder, low immunity",adult,moderate,Hypertension
"frequent infections, muscle stiffness, loss of smell, loss of appetite, ear pain, blurred vision",,teenager,severe,Anxiety Disorder
difficulty sleeping,chronic kidney disease,teenager,severe,Malaria
"fever, nail changes, dizziness",,senior,mild,Common Cold
"hand tremors, difficulty urinating, voice tremor, cold hands and feet, memory loss, loss of balance","mental health disorder, HIV positive",adult,severe,Congestive Heart Failure
"wheezing, numbness, hand tremors",,adult,mild,Chickenpox
"back pain, lightheadedness, difficulty concentrating",,adult,moderate,Hyperthyroidism
"insomnia, fever, trouble walking, muscle pain","autoimmune disorder, mental health disorder, low immunity",adult,mild,Hypertension
"craving for salt, neck stiffness, irritability, weight loss, facial drooping",,adult,severe,Zika Virus
dry eyes,"recent surgery, diabetes, long-term medication use, asthma",adult,severe,Lung Cancer
"heat intolerance, double vision, swollen lymph nodes, night sweats",,senior,moderate,Kidney Stones
constipation,"COPD, high cholesterol",adult,moderate,Sleep Apnea
"hiccups, involuntary movements, weight loss, depression","HIV positive, stress",adult,mild,Mumps
"swelling in legs, neck stiffness, sore throat",,adult,mild,Tetanus
"involuntary movements, hiccups, weight loss, depression","stress, HIV positive",adult,severe,Mumps
nausea,,adult,moderate,Migraine
"palpitations, muscle pain, muscle stiffness, constipation",,child,moderate,Arrhythmia
painful urination,chronic liver disease,adult,mild,Bronchitis
"easy bruising, nausea, slow healing, vomiting, anxiety","frequent travel, high cholesterol, occupational hazard",adult,moderate,Coronary Artery Disease
"difficulty sleeping, swelling in legs, diarrhea",radiation exposure,adult,moderate,Malaria
"numbness, hoarseness","radiation exposure, family history of cancer",senior,moderate,Transient Ischemic Attack
"abdominal pain, heat intolerance, loss of taste, difficulty urinating",sedentary lifestyle,senior,moderate,Lymphoma
"weight loss, facial drooping, craving for salt, neck stiffness, irritability","family history of heart disease, night shift worker, alcohol use",adult,moderate,Zika Virus
"nausea, acid reflux","obesity, anemia, malnutrition, sleep apnea",child,moderate,Migraine
"nausea, vomiting, anxiety, leg cramps","high cholesterol, frequent travel, occupational hazard",adult,mild,Coronary Artery Disease
"leg cramps, difficulty swallowing",allergies,senior,moderate,Cataract
"chronic cough, muscle stiffness, hair loss, painful urination","urban living, HIV positive",adult,severe,Otitis Media
"difficulty urinating, loss of balance, difficulty breathing at night",recent surgery,adult,severe,Crohn’s Disease
hoarseness,"asthma, recent surgery",adult,mild,Lung Cancer
"wheezing, abdominal pain",long-term medication use,senior,severe,Lupus
acid reflux,"sleep apnea, chronic kidney disease, malnutrition",adult,mild,Hypothyroidism
"hand tremors, confusion, persistent hiccups, frequent belching",pregnancy,adult,mild,COPD
"double vision, frequent headaches",,senior,moderate,Pneumonia
"difficulty swallowing, repetitive movements, fainting, urinary incontinence, yellowing of eyes, heat intolerance, difficulty concentrating",anemia,senior,mild,Typhoid
"urinary incontinence, fainting, rash, insomnia, difficulty sleeping",sleep apnea,teenager,moderate,Schizophrenia
neck stiffness,"night shift worker, family history of heart disease",senior,moderate,Zika Virus
"heat intolerance, shortness of breath","high cholesterol, autoimmune disorder, pregnancy, urban living",adult,mild,Stroke
"abdominal pain, headache, wheezing, diarrhea, difficulty swallowing, constipation, neck stiffness",,child,moderate,Lupus
"constipation, hearing loss, sensitivity to light, back pain",COPD,adult,moderate,Sleep Apnea
"frequent belching, swollen lymph nodes, frequent headaches, difficulty swallowing, persistent sneezing",recent infection,senior,moderate,Arthritis
heat intolerance,family history of heart disease,adult,mild,Lymphoma
"vomiting, confusion",,child,mild,Diabetes Type 1
"loss of appetite, urinary incontinence, confusion, leg cramps, palpitations",smoker,adult,severe,Diabetes Type 1
"hiccups, involuntary movements, heat intolerance, loss of balance",rural living,adult,mild,Pancreatitis
"persistent hiccups, confusion","occupational hazard, HIV positive",teenager,moderate,Gastroenteritis
"low energy, frequent headaches","chronic liver disease, obesity, stress, mental health disorder",adult,moderate,Asthma
weight loss,"alcohol use, night shift worker",teenager,mild,Zika Virus
"acid reflux, irritability, loss of balance, slow healing","autoimmune disorder, night shift worker",senior,mild,Measles
difficulty breathing at night,"autoimmune disorder, low immunity",senior,moderate,Cerebral Palsy
"heat intolerance, difficulty swallowing, double vision, frequent infections, blurred vision",,adult,severe,Cushing Syndrome
"wheezing, increased thirst, hand tremors, low energy, rash","high cholesterol, allergies",adult,mild,Chickenpox
fever,family history of cancer,child,moderate,Glaucoma
"frequent belching, wheezing, hair loss, dry mouth, yellowing of eyes, irregular heartbeat","hypertension, stress",adult,severe,Epilepsy
"muscle pain, insomnia, fever, trouble walking","low immunity, autoimmune disorder, HIV positive, mental health disorder",adult,moderate,Hypertension
"chronic cough, hair loss, painful urination, muscle stiffness","HIV positive, urban living",adult,mild,Otitis Media
"double vision, difficulty swallowing, frequent infections",,adult,mild,Cushing Syndrome
"persistent hiccups, frequent belching, hand tremors, confusion",exposure to chemicals,adult,moderate,COPD
"muscle stiffness, painful urination, chronic cough","HIV positive, alcohol use, urban living",adult,moderate,Otitis Media
"difficulty urinating, dry mouth, difficulty swallowing","occupational hazard, alcohol use, malnutrition",adult,mild,Alzheimer’s Disease
"wheezing, hair loss, irregular heartbeat, dry mouth","stress, hypertension, pregnancy",adult,mild,Epilepsy
"muscle stiffness, cold hands and feet, loss of appetite",,adult,moderate,Rheumatoid Arthritis
"tingling sensation, trouble walking","rural living, stress, chronic kidney disease",adult,severe,Breast Cancer
"painful urination, muscle stiffness",,senior,mild,Otitis Media
"drooling, yellowing of eyes, frequent infections, difficulty breathing at night","HIV positive, vitamin D deficiency",adult,severe,Influenza
"blurred vision, ear pain, swelling in legs, muscle stiffness",,child,severe,Anxiety Disorder
"increased thirst, wheezing, low energy, numbness, rash, hand tremors","high cholesterol, allergies",adult,mild,Chickenpox
"persistent sneezing, night sweats, nail changes, double vision","low immunity, chronic kidney disease, exposure to chemicals",adult,mild,Kidney Stones
"craving for salt, weight loss, irritability, facial drooping","alcohol use, family history of heart disease",child,mild,Zika Virus
"hair loss, chest pain, rash, itching, memory loss, loss of balance","stress, urban living, occupational hazard",adult,moderate,Vitamin B12 Deficiency
"headache, abdominal pain",,adult,moderate,Lupus
"cough, drooling, fatigue","frequent travel, exposure to chemicals",child,mild,Insomnia
acid reflux,"family history of cancer, malnutrition, long-term medication use",adult,mild,Irritable Bowel Syndrome
"anxiety, joint pain",,child,mild,Meningitis
"difficulty swallowing, chest pain","malnutrition, alcohol use",senior,moderate,Macular Degeneration
"dizziness, skin discoloration, heat intolerance, hair loss","diabetes, chronic kidney disease, recent surgery, high cholesterol",adult,severe,COVID-19
muscle pain,"mental health disorder, low immunity, autoimmune disorder, HIV positive",adult,severe,Hypertension
"vision loss, cold hands and feet, voice tremor, hand tremors, memory loss, difficulty urinating",recent surgery,senior,severe,Congestive Heart Failure
"swelling in legs, neck stiffness, sore throat, weight loss",,teenager,moderate,Tetanus
"nausea, acid reflux, painful urination",malnutrition,adult,mild,Migraine
"night sweats, double vision, heat intolerance, swollen lymph nodes, persistent sneezing",,adult,mild,Kidney Stones
"heat intolerance, loss of taste, abdominal pain, irregular heartbeat, difficulty urinating",,adult,mild,Lymphoma
"involuntary movements, hallucinations, nail changes","recent infection, night shift worker, alcohol use, stress",senior,mild,PCOS
"difficulty swallowing, persistent hiccups","urban living, family history of heart disease",adult,mild,Conjunctivitis
groin pain,,adult,mild,Chronic Kidney Disease
"back pain, muscle pain, constipation, difficulty speaking",obesity,senior,moderate,Peptic Ulcer
"swelling in legs, groin pain, insomnia, drooling, urinary incontinence, change in voice, easy bruising","malnutrition, smoker, chronic liver disease",adult,severe,Gallstones
"leg cramps, vomiting, slow healing",,adult,moderate,Coronary Artery Disease
"hair loss, chronic cough","alcohol use, urban living, HIV positive",senior,mild,Otitis Media
hair loss,,teenager,mild,Otitis Media
persistent sneezing,,adult,mild,Kidney Stones
"irregular heartbeat, lightheadedness","obesity, vitamin D deficiency, hypertension",senior,moderate,Tuberculosis
"double vision, persistent sneezing, heat intolerance, swollen lymph nodes, rash, night sweats",exposure to chemicals,teenager,moderate,Kidney Stones
"mood swings, fever, fainting",,child,mild,Bipolar Disorder
"memory loss, difficulty urinating, vision loss, cold hands and feet, hand tremors, loss of balance, voice tremor","HIV positive, recent surgery, smoker, mental health disorder",teenager,moderate,Congestive Heart Failure
loss of smell,low immunity,child,mild,Anemia
"lightheadedness, neck stiffness, dry eyes, hoarseness, muscle stiffness",diabetes,adult,mild,Osteoporosis
"drooling, difficulty breathing at night, frequent infections, yellowing of eyes","HIV positive, vitamin D deficiency",adult,mild,Influenza
"insomnia, difficulty sleeping, loss of balance, dizziness",,adult,moderate,Colon Cancer
"swelling in legs, change in voice, drooling, insomnia, easy bruising, groin pain, urinary incontinence","malnutrition, smoker, chronic liver disease",adult,mild,Gallstones
"bleeding gums, frequent belching","sleep apnea, autoimmune disorder, allergies",senior,moderate,Ulcerative Colitis
"lump or swelling, trouble walking, lightheadedness","rural living, allergies",adult,severe,Breast Cancer
"headache, difficulty urinating, nausea, difficulty breathing at night, loss of balance","high cholesterol, hypertension, recent surgery",adult,moderate,Crohn’s Disease
