symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
joint pain,Arthritis,no known condition,senior,severe,no preference,Ibuprofen,"Devil’s Claw, Turmeric",4.9,3.2
joint pain,Arthritis,allergies,senior,moderate,no preference,Ibuprofen,"Turmeric, Boswellia",4.9,3.8
nausea,Gastroenteritis,diabetes,child,mild,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",4.9,3.7
fever,Viral Infection,hypertension,senior,mild,no preference,Ibuprofen,"Tulsi Tea, Elderberry",3.8,3.8
fatigue,Chronic Fatigue Syndrome,diabetes,adult,moderate,herbal,Vitamin B12,"Ginseng, Rhodiola",3.5,4.7
joint pain,Arthritis,hypertension,adult,mild,herbal,Ibuprofen,"Turmeric, Boswellia",4.6,3.1
muscle pain,Fibromyalgia,hypertension,senior,severe,herbal,Diclofenac,"Massage Therapy, Arnica",4.1,4.2
nausea,Gastroenteritis,allergies,senior,mild,herbal,Ondansetron,"Ginger, Lemon Balm",3.8,3.9
cough,Common Cold,heart disease,child,mild,herbal,Dextromethorphan,"Honey & Ginger, Mulethi",4.9,4.8
skin rash,Allergic Reaction,diabetes,child,mild,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",4.2,3.5
fever,Viral Infection,hypertension,senior,moderate,no preference,Ibuprofen,"Elderberry, Giloy",3.6,4.8
sore throat,Strep Throat,heart disease,senior,severe,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.9,4.0
anxiety,Generalized Anxiety Disorder,no known condition,adult,mild,no preference,Alprazolam,"L-Theanine, Chamomile",4.3,3.6
fatigue,Chronic Fatigue Syndrome,hypertension,child,severe,pharmaceutical,Vitamin B12,"Rhodiola, Ashwagandha",4.2,4.4
fatigue,Chronic Fatigue Syndrome,obesity,senior,severe,no preference,Vitamin B12,"Ashwagandha, Rhodiola",3.6,3.2
dizziness,Vertigo,asthma,senior,moderate,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.8,4.4
cough,Common Cold,heart disease,senior,severe,herbal,Dextromethorphan,"Thyme Tea, Mulethi",4.6,4.3
fever,Viral Infection,obesity,senior,moderate,no preference,Ibuprofen,"Elderberry, Giloy",4.6,4.3
muscle pain,Fibromyalgia,hypertension,child,moderate,no preference,Diclofenac,"Arnica, Massage Therapy",4.9,4.0
muscle pain,Fibromyalgia,heart disease,senior,moderate,no preference,Diclofenac,"Arnica, Eucalyptus Oil",4.0,4.6
anxiety,Generalized Anxiety Disorder,no known condition,adult,mild,no preference,Alprazolam,"L-Theanine, Chamomile",4.8,5.0
sore throat,Strep Throat,allergies,senior,severe,pharmaceutical,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.3,4.1
sore throat,Strep Throat,obesity,adult,moderate,no preference,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.7,3.2
skin rash,Allergic Reaction,asthma,adult,mild,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",3.6,3.4
headache,Migraine,obesity,child,moderate,no preference,Paracetamol,"Feverfew, Magnesium",4.1,3.5
nausea,Gastroenteritis,diabetes,adult,mild,herbal,Ondansetron,"Lemon Balm, Ginger",4.9,4.8
fever,Viral Infection,diabetes,child,severe,herbal,Ibuprofen,"Giloy, Elderberry",4.0,3.1
nausea,Gastroenteritis,hypertension,adult,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",3.7,4.2
skin rash,Allergic Reaction,hypertension,senior,severe,no preference,Antihistamine,"Aloe Vera, Oatmeal",3.6,3.2
cough,Common Cold,diabetes,child,moderate,herbal,Dextromethorphan,"Mulethi, Honey & Ginger",4.5,3.6
fever,Viral Infection,heart disease,senior,severe,no preference,Ibuprofen,"Giloy, Elderberry",4.4,3.9
dizziness,Vertigo,obesity,child,mild,herbal,Meclizine,"Bacopa, Ginger",4.8,3.3
insomnia,Sleep Disorder,asthma,senior,mild,herbal,Melatonin,"Magnesium, Lavender Oil",3.8,3.9
headache,Migraine,asthma,senior,severe,pharmaceutical,Paracetamol,"Feverfew, Butterbur",3.8,4.0
anxiety,Generalized Anxiety Disorder,asthma,senior,severe,no preference,Alprazolam,"L-Theanine, Valerian Root",4.3,4.1
dizziness,Vertigo,hypertension,child,moderate,pharmaceutical,Meclizine,"Bacopa, Ginseng",3.9,4.0
muscle pain,Fibromyalgia,asthma,child,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.7,5.0
skin rash,Allergic Reaction,obesity,adult,mild,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.3,3.7
sore throat,Strep Throat,no known condition,child,severe,herbal,Throat Lozenges,"Slippery Elm, Saltwater Gargle",3.8,3.5
fever,Viral Infection,hypertension,adult,severe,herbal,Ibuprofen,"Elderberry, Giloy",3.6,4.2
stomach pain,Gastritis,heart disease,senior,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",4.5,3.3
fatigue,Chronic Fatigue Syndrome,hypertension,adult,moderate,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.5,3.8
sore throat,Strep Throat,diabetes,child,severe,no preference,Throat Lozenges,"Saltwater Gargle, Slippery Elm",3.6,4.7
joint pain,Arthritis,hypertension,senior,mild,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",3.5,5.0
nausea,Gastroenteritis,diabetes,senior,moderate,no preference,Ondansetron,"Lemon Balm, Ginger",3.8,3.4
fever,Viral Infection,asthma,senior,moderate,pharmaceutical,Ibuprofen,"Tulsi Tea, Elderberry",4.8,4.6
dizziness,Vertigo,asthma,senior,severe,herbal,Meclizine,"Ginger, Bacopa",4.0,3.1
fever,Viral Infection,no known condition,senior,mild,herbal,Ibuprofen,"Elderberry, Giloy",3.5,4.0
insomnia,Sleep Disorder,no known condition,senior,moderate,herbal,Melatonin,"Magnesium, Passionflower",4.2,3.4
fever,Viral Infection,no known condition,senior,moderate,no preference,Ibuprofen,"Giloy, Tulsi Tea",4.4,3.3
anxiety,Generalized Anxiety Disorder,obesity,senior,mild,herbal,Alprazolam,"Valerian Root, L-Theanine",4.8,4.6
insomnia,Sleep Disorder,allergies,adult,severe,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",3.9,3.6
shortness of breath,Asthma,asthma,adult,moderate,no preference,Albuterol,"Deep Breathing, Quercetin",4.4,3.5
dizziness,Vertigo,allergies,child,severe,pharmaceutical,Meclizine,"Ginger, Bacopa",3.9,4.5
headache,Migraine,allergies,adult,severe,no preference,Paracetamol,"Magnesium, Butterbur",3.9,3.6
nausea,Gastroenteritis,diabetes,child,mild,herbal,Ondansetron,"Lemon Balm, Ginger",4.6,3.9
skin rash,Allergic Reaction,no known condition,adult,mild,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",4.5,4.8
stomach pain,Gastritis,diabetes,adult,mild,herbal,Omeprazole,"Probiotics, Fennel Seeds",5.0,3.2
sore throat,Strep Throat,heart disease,senior,mild,herbal,Throat Lozenges,"Licorice Root Tea, Slippery Elm",3.6,4.0
joint pain,Arthritis,obesity,child,severe,no preference,Ibuprofen,"Boswellia, Devil’s Claw",4.9,3.4
anxiety,Generalized Anxiety Disorder,no known condition,child,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",3.9,3.2
anxiety,Generalized Anxiety Disorder,diabetes,adult,mild,no preference,Alprazolam,"Valerian Root, L-Theanine",4.0,4.0
insomnia,Sleep Disorder,no known condition,adult,moderate,pharmaceutical,Melatonin,"Passionflower, Lavender Oil",3.9,4.6
dizziness,Vertigo,obesity,senior,mild,no preference,Meclizine,"Ginger, Ginseng",3.8,4.3
sore throat,Strep Throat,heart disease,child,mild,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.6,3.6
headache,Migraine,diabetes,senior,severe,no preference,Paracetamol,"Feverfew, Butterbur",3.7,3.2
stomach pain,Gastritis,heart disease,senior,mild,no preference,Omeprazole,"Probiotics, Fennel Seeds",4.8,3.6
headache,Migraine,no known condition,child,moderate,herbal,Paracetamol,"Feverfew, Butterbur",4.4,4.0
dizziness,Vertigo,hypertension,child,moderate,no preference,Meclizine,"Ginseng, Bacopa",3.9,4.0
headache,Migraine,allergies,child,moderate,herbal,Paracetamol,"Magnesium, Butterbur",3.6,4.8
skin rash,Allergic Reaction,asthma,adult,severe,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.3,4.8
muscle pain,Fibromyalgia,diabetes,senior,mild,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",3.6,3.0
fever,Viral Infection,asthma,senior,mild,herbal,Ibuprofen,"Giloy, Elderberry",3.6,3.0
joint pain,Arthritis,hypertension,senior,severe,herbal,Ibuprofen,"Turmeric, Boswellia",3.8,3.4
stomach pain,Gastritis,asthma,senior,severe,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.0,3.8
stomach pain,Gastritis,allergies,child,mild,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",3.8,3.9
shortness of breath,Asthma,asthma,adult,severe,pharmaceutical,Albuterol,"Quercetin, Yoga",3.6,3.3
fatigue,Chronic Fatigue Syndrome,no known condition,senior,severe,pharmaceutical,Vitamin B12,"Ginseng, Ashwagandha",3.5,4.0
anxiety,Generalized Anxiety Disorder,obesity,senior,moderate,no preference,Alprazolam,"Chamomile, Valerian Root",4.1,3.9
anxiety,Generalized Anxiety Disorder,hypertension,child,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",3.8,3.4
fatigue,Chronic Fatigue Syndrome,hypertension,adult,mild,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.4,3.5
joint pain,Arthritis,heart disease,child,mild,pharmaceutical,Ibuprofen,"Devil’s Claw, Boswellia",4.4,4.8
anxiety,Generalized Anxiety Disorder,obesity,adult,moderate,herbal,Alprazolam,"Chamomile, L-Theanine",4.6,5.0
shortness of breath,Asthma,allergies,senior,mild,no preference,Albuterol,"Yoga, Deep Breathing",4.6,3.5
headache,Migraine,allergies,child,mild,herbal,Paracetamol,"Feverfew, Butterbur",4.4,4.0
sore throat,Strep Throat,obesity,adult,mild,pharmaceutical,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.5,4.5
cough,Common Cold,asthma,child,moderate,no preference,Dextromethorphan,"Mulethi, Thyme Tea",3.6,4.3
headache,Migraine,allergies,senior,severe,no preference,Paracetamol,"Magnesium, Butterbur",4.0,3.9
insomnia,Sleep Disorder,asthma,adult,severe,herbal,Melatonin,"Magnesium, Lavender Oil",3.8,3.5
fatigue,Chronic Fatigue Syndrome,hypertension,child,moderate,herbal,Vitamin B12,"Rhodiola, Ginseng",4.9,5.0
stomach pain,Gastritis,no known condition,child,mild,no preference,Omeprazole,"Fennel Seeds, Probiotics",4.9,3.5
nausea,Gastroenteritis,asthma,senior,severe,herbal,Ondansetron,"Ginger, Lemon Balm",4.2,3.2
sore throat,Strep Throat,diabetes,senior,mild,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.8,3.1
cough,Common Cold,allergies,child,moderate,no preference,Dextromethorphan,"Mulethi, Thyme Tea",4.1,3.1
headache,Migraine,obesity,adult,severe,no preference,Paracetamol,"Magnesium, Butterbur",3.5,3.6
dizziness,Vertigo,no known condition,senior,mild,pharmaceutical,Meclizine,"Ginger, Ginseng",4.5,3.8
shortness of breath,Asthma,heart disease,child,severe,no preference,Albuterol,"Deep Breathing, Quercetin",3.7,3.4
nausea,Gastroenteritis,heart disease,senior,severe,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",3.9,4.7
dizziness,Vertigo,no known condition,adult,severe,pharmaceutical,Meclizine,"Ginseng, Ginger",4.9,3.7
fever,Viral Infection,heart disease,child,moderate,pharmaceutical,Ibuprofen,"Elderberry, Tulsi Tea",4.0,3.7
skin rash,Allergic Reaction,heart disease,senior,moderate,herbal,Antihistamine,"Aloe Vera, Oatmeal",4.4,4.2
fatigue,Chronic Fatigue Syndrome,allergies,adult,moderate,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.2,3.5
stomach pain,Gastritis,obesity,child,mild,herbal,Omeprazole,"Chamomile, Probiotics",4.1,3.4
nausea,Gastroenteritis,obesity,child,severe,no preference,Ondansetron,"Lemon Balm, Peppermint Oil",4.5,4.0
shortness of breath,Asthma,allergies,child,mild,no preference,Albuterol,"Deep Breathing, Yoga",4.0,3.4
muscle pain,Fibromyalgia,hypertension,senior,moderate,no preference,Diclofenac,"Massage Therapy, Arnica",4.6,4.9
sore throat,Strep Throat,diabetes,senior,severe,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.7,3.2
sore throat,Strep Throat,allergies,child,severe,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.3,3.5
skin rash,Allergic Reaction,no known condition,child,mild,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",3.8,4.7
shortness of breath,Asthma,hypertension,senior,mild,no preference,Albuterol,"Yoga, Quercetin",3.6,3.7
fever,Viral Infection,hypertension,adult,severe,no preference,Ibuprofen,"Elderberry, Tulsi Tea",4.9,4.3
anxiety,Generalized Anxiety Disorder,obesity,senior,mild,herbal,Alprazolam,"Valerian Root, Chamomile",4.2,4.9
anxiety,Generalized Anxiety Disorder,diabetes,senior,severe,no preference,Alprazolam,"Chamomile, Valerian Root",4.9,3.2
headache,Migraine,obesity,senior,severe,no preference,Paracetamol,"Butterbur, Feverfew",4.7,4.2
sore throat,Strep Throat,heart disease,adult,mild,pharmaceutical,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.6,4.2
insomnia,Sleep Disorder,heart disease,senior,mild,no preference,Melatonin,"Magnesium, Passionflower",3.6,4.7
insomnia,Sleep Disorder,no known condition,senior,moderate,no preference,Melatonin,"Passionflower, Magnesium",4.1,4.8
headache,Migraine,diabetes,adult,mild,no preference,Paracetamol,"Butterbur, Magnesium",3.6,4.2
muscle pain,Fibromyalgia,asthma,adult,severe,pharmaceutical,Diclofenac,"Arnica, Eucalyptus Oil",4.7,3.2
skin rash,Allergic Reaction,no known condition,senior,severe,no preference,Antihistamine,"Aloe Vera, Calendula",4.2,3.4
fever,Viral Infection,allergies,senior,moderate,no preference,Ibuprofen,"Tulsi Tea, Elderberry",5.0,4.7
cough,Common Cold,no known condition,senior,moderate,no preference,Dextromethorphan,"Mulethi, Thyme Tea",3.6,3.3
stomach pain,Gastritis,hypertension,adult,severe,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",3.7,3.4
nausea,Gastroenteritis,no known condition,senior,severe,no preference,Ondansetron,"Lemon Balm, Ginger",4.3,4.7
dizziness,Vertigo,diabetes,senior,mild,pharmaceutical,Meclizine,"Ginger, Ginseng",4.5,3.1
headache,Migraine,allergies,child,severe,pharmaceutical,Paracetamol,"Feverfew, Magnesium",3.7,3.5
fatigue,Chronic Fatigue Syndrome,asthma,child,moderate,no preference,Vitamin B12,"Ashwagandha, Ginseng",4.2,4.5
shortness of breath,Asthma,asthma,adult,severe,no preference,Albuterol,"Deep Breathing, Yoga",3.8,4.4
sore throat,Strep Throat,no known condition,child,mild,no preference,Throat Lozenges,"Saltwater Gargle, Slippery Elm",3.9,3.9
insomnia,Sleep Disorder,diabetes,child,mild,herbal,Melatonin,"Magnesium, Lavender Oil",4.9,4.6
headache,Migraine,hypertension,child,mild,no preference,Paracetamol,"Magnesium, Butterbur",4.9,4.6
stomach pain,Gastritis,no known condition,senior,mild,herbal,Omeprazole,"Fennel Seeds, Chamomile",4.8,3.2
skin rash,Allergic Reaction,no known condition,senior,severe,herbal,Antihistamine,"Aloe Vera, Oatmeal",4.8,3.0
dizziness,Vertigo,allergies,senior,moderate,no preference,Meclizine,"Ginseng, Ginger",3.9,3.2
fever,Viral Infection,asthma,adult,severe,no preference,Ibuprofen,"Giloy, Tulsi Tea",5.0,4.7
skin rash,Allergic Reaction,asthma,child,moderate,pharmaceutical,Antihistamine,"Aloe Vera, Calendula",5.0,4.6
skin rash,Allergic Reaction,no known condition,senior,mild,no preference,Antihistamine,"Calendula, Oatmeal",4.9,3.5
insomnia,Sleep Disorder,asthma,adult,mild,no preference,Melatonin,"Magnesium, Passionflower",3.6,3.2
anxiety,Generalized Anxiety Disorder,no known condition,adult,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.5,3.6
fever,Viral Infection,no known condition,senior,moderate,pharmaceutical,Ibuprofen,"Elderberry, Giloy",4.6,3.0
dizziness,Vertigo,diabetes,senior,severe,herbal,Meclizine,"Ginseng, Ginger",4.3,4.0
stomach pain,Gastritis,obesity,adult,moderate,pharmaceutical,Omeprazole,"Fennel Seeds, Probiotics",4.1,3.5
joint pain,Arthritis,diabetes,child,mild,herbal,Ibuprofen,"Boswellia, Turmeric",4.6,4.6
stomach pain,Gastritis,allergies,child,severe,no preference,Omeprazole,"Fennel Seeds, Chamomile",4.0,4.6
fatigue,Chronic Fatigue Syndrome,asthma,child,mild,no preference,Vitamin B12,"Rhodiola, Ginseng",3.7,4.0
headache,Migraine,no known condition,senior,severe,pharmaceutical,Paracetamol,"Feverfew, Magnesium",4.7,3.5
skin rash,Allergic Reaction,hypertension,senior,moderate,no preference,Antihistamine,"Aloe Vera, Calendula",3.5,3.9
shortness of breath,Asthma,allergies,child,severe,no preference,Albuterol,"Yoga, Quercetin",5.0,3.3
dizziness,Vertigo,allergies,adult,mild,no preference,Meclizine,"Ginseng, Bacopa",4.2,4.8
fatigue,Chronic Fatigue Syndrome,hypertension,adult,severe,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",4.1,4.5
stomach pain,Gastritis,diabetes,child,mild,pharmaceutical,Omeprazole,"Probiotics, Chamomile",4.4,4.5
fatigue,Chronic Fatigue Syndrome,allergies,child,mild,herbal,Vitamin B12,"Ginseng, Ashwagandha",3.7,3.3
stomach pain,Gastritis,obesity,senior,severe,herbal,Omeprazole,"Probiotics, Fennel Seeds",3.7,3.3
shortness of breath,Asthma,diabetes,senior,moderate,herbal,Albuterol,"Deep Breathing, Yoga",4.4,3.6
fever,Viral Infection,heart disease,child,mild,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.2,3.9
dizziness,Vertigo,heart disease,child,mild,herbal,Meclizine,"Ginger, Bacopa",4.0,3.1
stomach pain,Gastritis,hypertension,adult,mild,herbal,Omeprazole,"Chamomile, Probiotics",3.9,5.0
dizziness,Vertigo,no known condition,child,severe,herbal,Meclizine,"Ginseng, Ginger",4.8,4.5
nausea,Gastroenteritis,asthma,child,severe,herbal,Ondansetron,"Lemon Balm, Ginger",4.9,3.5
stomach pain,Gastritis,hypertension,child,mild,herbal,Omeprazole,"Fennel Seeds, Chamomile",4.6,3.6
shortness of breath,Asthma,allergies,adult,severe,herbal,Albuterol,"Yoga, Quercetin",4.7,3.4
sore throat,Strep Throat,diabetes,senior,mild,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.8,3.8
skin rash,Allergic Reaction,hypertension,senior,mild,herbal,Antihistamine,"Aloe Vera, Calendula",4.7,3.7
shortness of breath,Asthma,asthma,child,severe,pharmaceutical,Albuterol,"Yoga, Deep Breathing",4.1,3.3
fatigue,Chronic Fatigue Syndrome,diabetes,adult,moderate,pharmaceutical,Vitamin B12,"Ginseng, Rhodiola",3.6,4.5
nausea,Gastroenteritis,obesity,child,mild,no preference,Ondansetron,"Ginger, Peppermint Oil",4.6,3.9
fatigue,Chronic Fatigue Syndrome,heart disease,senior,mild,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",3.7,3.3
fever,Viral Infection,hypertension,senior,mild,pharmaceutical,Ibuprofen,"Giloy, Tulsi Tea",5.0,4.5
headache,Migraine,diabetes,child,mild,herbal,Paracetamol,"Magnesium, Butterbur",4.5,3.5
anxiety,Generalized Anxiety Disorder,heart disease,senior,mild,no preference,Alprazolam,"Valerian Root, L-Theanine",4.3,4.1
fever,Viral Infection,obesity,child,mild,herbal,Ibuprofen,"Tulsi Tea, Giloy",4.7,3.7
skin rash,Allergic Reaction,hypertension,senior,moderate,pharmaceutical,Antihistamine,"Oatmeal, Aloe Vera",4.5,4.4
insomnia,Sleep Disorder,obesity,child,moderate,pharmaceutical,Melatonin,"Magnesium, Lavender Oil",3.8,4.4
nausea,Gastroenteritis,asthma,child,severe,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",4.1,3.2
fever,Viral Infection,allergies,adult,moderate,pharmaceutical,Ibuprofen,"Giloy, Elderberry",4.3,4.3
joint pain,Arthritis,obesity,senior,mild,pharmaceutical,Ibuprofen,"Boswellia, Devil’s Claw",4.5,4.9
dizziness,Vertigo,asthma,child,moderate,herbal,Meclizine,"Ginger, Ginseng",4.8,3.6
dizziness,Vertigo,obesity,adult,mild,herbal,Meclizine,"Ginseng, Bacopa",3.8,4.7
sore throat,Strep Throat,diabetes,child,mild,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",3.8,3.4
skin rash,Allergic Reaction,obesity,child,severe,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.8,3.1
fatigue,Chronic Fatigue Syndrome,asthma,child,moderate,pharmaceutical,Vitamin B12,"Ginseng, Ashwagandha",3.8,3.8
skin rash,Allergic Reaction,asthma,adult,severe,no preference,Antihistamine,"Aloe Vera, Calendula",3.6,4.7
nausea,Gastroenteritis,heart disease,senior,severe,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",3.7,3.7
stomach pain,Gastritis,no known condition,adult,moderate,pharmaceutical,Omeprazole,"Chamomile, Fennel Seeds",3.5,4.5
skin rash,Allergic Reaction,obesity,child,moderate,herbal,Antihistamine,"Calendula, Oatmeal",4.1,4.5
stomach pain,Gastritis,no known condition,child,moderate,no preference,Omeprazole,"Chamomile, Probiotics",3.6,4.8
dizziness,Vertigo,diabetes,child,moderate,no preference,Meclizine,"Bacopa, Ginger",4.6,3.4
sore throat,Strep Throat,asthma,child,moderate,no preference,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.7,4.0
joint pain,Arthritis,obesity,adult,moderate,herbal,Ibuprofen,"Boswellia, Turmeric",4.2,5.0
sore throat,Strep Throat,no known condition,adult,severe,herbal,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",4.7,4.2
fatigue,Chronic Fatigue Syndrome,obesity,senior,severe,herbal,Vitamin B12,"Ginseng, Rhodiola",3.6,4.1
headache,Migraine,hypertension,senior,mild,pharmaceutical,Paracetamol,"Magnesium, Feverfew",4.3,3.4
dizziness,Vertigo,heart disease,child,severe,no preference,Meclizine,"Ginger, Bacopa",4.2,4.0
fever,Viral Infection,heart disease,child,severe,pharmaceutical,Ibuprofen,"Tulsi Tea, Giloy",4.9,4.1
fever,Viral Infection,diabetes,child,severe,herbal,Ibuprofen,"Giloy, Tulsi Tea",4.0,3.2
muscle pain,Fibromyalgia,diabetes,adult,mild,herbal,Diclofenac,"Arnica, Massage Therapy",3.9,4.9
shortness of breath,Asthma,hypertension,adult,mild,herbal,Albuterol,"Deep Breathing, Yoga",4.4,3.8
nausea,Gastroenteritis,asthma,adult,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",3.7,3.0
fatigue,Chronic Fatigue Syndrome,hypertension,child,severe,herbal,Vitamin B12,"Ashwagandha, Rhodiola",3.7,5.0
joint pain,Arthritis,diabetes,child,moderate,herbal,Ibuprofen,"Boswellia, Turmeric",4.0,3.6
cough,Common Cold,asthma,child,mild,no preference,Dextromethorphan,"Thyme Tea, Mulethi",3.7,4.9
cough,Common Cold,asthma,senior,mild,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.7,4.5
nausea,Gastroenteritis,diabetes,adult,moderate,pharmaceutical,Ondansetron,"Lemon Balm, Ginger",3.9,3.8
shortness of breath,Asthma,no known condition,child,mild,herbal,Albuterol,"Deep Breathing, Quercetin",4.2,4.3
insomnia,Sleep Disorder,no known condition,senior,mild,herbal,Melatonin,"Passionflower, Magnesium",3.7,3.2
skin rash,Allergic Reaction,diabetes,adult,severe,no preference,Antihistamine,"Calendula, Aloe Vera",4.2,4.1
cough,Common Cold,hypertension,senior,mild,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.9,4.3
skin rash,Allergic Reaction,obesity,senior,mild,herbal,Antihistamine,"Calendula, Aloe Vera",4.5,4.2
anxiety,Generalized Anxiety Disorder,no known condition,senior,mild,no preference,Alprazolam,"Valerian Root, Chamomile",4.8,4.3
cough,Common Cold,asthma,adult,severe,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.6,4.7
shortness of breath,Asthma,allergies,adult,severe,pharmaceutical,Albuterol,"Quercetin, Deep Breathing",4.7,3.3
stomach pain,Gastritis,allergies,adult,moderate,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",3.8,4.5
shortness of breath,Asthma,hypertension,child,severe,no preference,Albuterol,"Quercetin, Deep Breathing",4.5,4.6
fever,Viral Infection,diabetes,child,mild,herbal,Ibuprofen,"Elderberry, Giloy",4.3,3.7
insomnia,Sleep Disorder,hypertension,senior,mild,no preference,Melatonin,"Passionflower, Lavender Oil",4.5,3.5
sore throat,Strep Throat,asthma,child,moderate,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.6,3.9
stomach pain,Gastritis,asthma,senior,moderate,herbal,Omeprazole,"Fennel Seeds, Chamomile",4.5,4.8
shortness of breath,Asthma,asthma,senior,severe,herbal,Albuterol,"Quercetin, Deep Breathing",3.8,3.9
headache,Migraine,no known condition,child,moderate,no preference,Paracetamol,"Feverfew, Butterbur",4.5,3.7
skin rash,Allergic Reaction,allergies,adult,moderate,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",3.6,4.4
fatigue,Chronic Fatigue Syndrome,no known condition,senior,mild,no preference,Vitamin B12,"Rhodiola, Ginseng",4.2,4.3
muscle pain,Fibromyalgia,obesity,senior,moderate,herbal,Diclofenac,"Massage Therapy, Arnica",5.0,4.6
skin rash,Allergic Reaction,allergies,adult,severe,no preference,Antihistamine,"Aloe Vera, Oatmeal",4.5,3.7
dizziness,Vertigo,allergies,senior,moderate,pharmaceutical,Meclizine,"Ginger, Bacopa",4.6,3.0
headache,Migraine,diabetes,child,severe,herbal,Paracetamol,"Butterbur, Magnesium",4.3,3.5
fatigue,Chronic Fatigue Syndrome,no known condition,child,severe,herbal,Vitamin B12,"Ginseng, Ashwagandha",4.4,3.4
muscle pain,Fibromyalgia,hypertension,child,moderate,no preference,Diclofenac,"Arnica, Massage Therapy",4.6,4.0
muscle pain,Fibromyalgia,diabetes,adult,mild,herbal,Diclofenac,"Massage Therapy, Arnica",4.7,4.9
stomach pain,Gastritis,asthma,adult,severe,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",4.8,4.7
fever,Viral Infection,diabetes,senior,mild,herbal,Ibuprofen,"Elderberry, Tulsi Tea",3.8,3.9
cough,Common Cold,hypertension,adult,mild,no preference,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.0,4.1
cough,Common Cold,diabetes,adult,severe,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.7,3.4
shortness of breath,Asthma,allergies,senior,severe,no preference,Albuterol,"Deep Breathing, Yoga",4.4,3.7
fever,Viral Infection,heart disease,child,moderate,pharmaceutical,Ibuprofen,"Elderberry, Tulsi Tea",4.8,3.6
fatigue,Chronic Fatigue Syndrome,diabetes,adult,moderate,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",4.2,3.3
skin rash,Allergic Reaction,hypertension,child,mild,no preference,Antihistamine,"Oatmeal, Aloe Vera",4.5,3.6
skin rash,Allergic Reaction,no known condition,senior,severe,no preference,Antihistamine,"Oatmeal, Calendula",3.6,3.1
sore throat,Strep Throat,obesity,adult,moderate,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.0,4.1
